customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
LP8LMTR75Q,Female,1,Yes,No,2,Yes,No,Fiber optic,No internet service,Yes,Yes,No internet service,Yes,Yes,Month-to-month,No,Credit card (automatic),113.63,227.26,Yes
VIZBDIPR9N,Female,0,Yes,Yes,49,Yes,No,Fiber optic,No internet service,No internet service,No internet service,Yes,Yes,No,One year,Yes,Bank transfer (automatic),34.97,1713.53,No
Y4ZRXUMVV3,Female,1,Yes,No,27,Yes,Yes,DSL,No,No,No internet service,No,No,Yes,One year,No,Credit card (automatic),63.83,1723.41,No
29IVM2IVCW,Female,0,No,Yes,69,Yes,Yes,Fiber optic,No internet service,Yes,No,No,No internet service,No internet service,Two year,Yes,Mailed check,34.61,2388.09,No
E1LJ1RDQNE,Female,1,No,No,33,Yes,Yes,DSL,Yes,No,Yes,Yes,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),66.02,2178.66,Yes
9SZMZ06A0G,Male,0,No,No,30,Yes,No phone service,No,No internet service,No,No internet service,No,Yes,No,Two year,No,Mailed check,69.44,2083.2,Yes
9XBAXIBFL9,Female,0,Yes,Yes,62,Yes,No phone service,DSL,Yes,No,No internet service,Yes,No internet service,Yes,Month-to-month,No,Credit card (automatic),76.68,4754.16,No
ENC96M2V0U,Male,0,No,Yes,34,Yes,No,DSL,No,Yes,No,No internet service,No internet service,No,One year,Yes,Bank transfer (automatic),32.55,1106.7,No
PG527KK6VL,Female,0,No,Yes,28,No,No,DSL,No,No internet service,No internet service,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),21.23,594.44,Yes
FURKU5L2TC,Male,0,Yes,No,2,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,43.8,87.6,Yes
84ND1KOJND,Male,1,No,Yes,26,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,No,Yes,No,Two year,No,Bank transfer (automatic),113.77,2958.02,Yes
8F08EU0435,Female,1,Yes,Yes,60,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No,Yes,No internet service,One year,No,Electronic check,82.02,4921.2,No
BCDESFE2KV,Male,0,Yes,Yes,58,No,No,No,Yes,Yes,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),102.59,5950.22,No
XW2N06O75H,Male,0,Yes,Yes,58,No,No,Fiber optic,Yes,No internet service,No,No internet service,No internet service,Yes,One year,No,Mailed check,92.92,5389.36,Yes
YHRQQRPJUJ,Female,0,No,Yes,66,No,No,DSL,No,Yes,No internet service,No internet service,Yes,Yes,Month-to-month,No,Electronic check,75.03,4951.98,Yes
7RYBBIW1CI,Female,1,No,Yes,62,Yes,No phone service,DSL,No internet service,No internet service,No,No internet service,No,No,Two year,No,Credit card (automatic),49.48,3067.76,Yes
758PDN1DJM,Male,1,No,Yes,49,Yes,Yes,Fiber optic,No,No internet service,No,No,Yes,No,One year,Yes,Credit card (automatic),109.48,5364.52,Yes
SH0J0DQV40,Female,0,No,Yes,5,No,No,DSL,No internet service,No internet service,No internet service,Yes,No,Yes,One year,Yes,Bank transfer (automatic),24.85,124.25,Yes
JBG67C50U3,Female,1,No,Yes,15,No,No,DSL,No internet service,No,No,No,No internet service,No,Two year,No,Mailed check,91.6,1374.0,No
GN3KR94NG6,Male,1,Yes,No,59,No,No,No,No internet service,No,Yes,Yes,Yes,No internet service,One year,No,Credit card (automatic),84.7,4997.3,Yes
S2B5VZE25U,Female,1,Yes,No,46,Yes,Yes,No,No internet service,Yes,No,No internet service,No internet service,No,One year,Yes,Electronic check,57.55,2647.3,No
ZON3IXVX1E,Female,1,Yes,No,27,No,Yes,DSL,No internet service,Yes,No,Yes,No internet service,No internet service,Two year,Yes,Credit card (automatic),48.35,1305.45,No
MVL7LWEGGX,Female,1,No,No,45,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,24.25,1091.25,Yes
82ZJ6QDK1I,Female,1,Yes,Yes,64,Yes,No,DSL,No internet service,Yes,No,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),65.24,4175.36,Yes
INQ2Q33QWG,Female,1,No,No,63,No,Yes,DSL,No,No,Yes,No,No internet service,Yes,One year,No,Credit card (automatic),29.04,1829.52,No
UOFH1D5MOK,Male,0,No,No,67,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,Yes,No internet service,No,Month-to-month,Yes,Mailed check,75.87,5083.29,Yes
UDKEL29YBU,Male,0,No,No,18,Yes,Yes,No,No,Yes,No internet service,Yes,No,No internet service,One year,No,Mailed check,100.53,1809.54,Yes
3CDQ1PDM1U,Female,0,Yes,No,56,Yes,No,DSL,No internet service,Yes,No internet service,No internet service,Yes,Yes,One year,No,Mailed check,24.99,1399.44,Yes
MQCIO2QE7R,Male,0,Yes,Yes,30,Yes,Yes,DSL,No internet service,No,Yes,Yes,No,Yes,Two year,No,Mailed check,49.7,1491.0,Yes
2C1FR3R532,Female,1,No,Yes,1,No,No,DSL,No internet service,No,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),95.62,95.62,Yes
DNC70EH4M3,Male,0,Yes,No,48,Yes,No phone service,No,No,No,No internet service,No,Yes,Yes,Two year,Yes,Credit card (automatic),51.01,2448.48,No
QSPK3NYX7T,Male,1,Yes,Yes,27,No,No phone service,No,No internet service,No,No internet service,No internet service,No,Yes,One year,Yes,Electronic check,45.28,1222.56,Yes
0TT2WZMN4T,Male,0,No,No,44,No,No,DSL,No,Yes,No,No,Yes,Yes,One year,No,Bank transfer (automatic),19.75,869.0,Yes
W6TNFEVYCX,Male,0,Yes,No,54,Yes,No phone service,DSL,No,Yes,Yes,No,No internet service,No,Two year,No,Credit card (automatic),96.18,5193.72,Yes
0IGV6C0QKU,Male,1,No,Yes,35,No,No phone service,Fiber optic,Yes,Yes,No internet service,No internet service,No internet service,No,One year,No,Credit card (automatic),109.99,3849.65,Yes
80B3D6ULJO,Male,1,Yes,Yes,12,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Credit card (automatic),77.61,931.32,No
9OMJ20ASQV,Male,0,Yes,No,68,No,No,No,No,No internet service,No,Yes,No internet service,No,One year,No,Bank transfer (automatic),19.49,1325.32,No
KJOCWXE1A4,Male,1,No,Yes,12,Yes,No phone service,No,No,Yes,Yes,Yes,No internet service,No internet service,One year,No,Mailed check,92.22,1106.64,No
3GH5ZCJMPV,Male,0,Yes,Yes,35,No,No,No,No internet service,No,Yes,No internet service,Yes,No,Month-to-month,No,Bank transfer (automatic),58.07,2032.45,Yes
CK6XAAZVX6,Male,1,Yes,Yes,39,No,No,No,No internet service,No internet service,No,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic),88.97,3469.83,No
EWVDD0GOPJ,Male,0,No,No,60,No,Yes,No,Yes,No internet service,No,No,No internet service,Yes,Month-to-month,No,Electronic check,117.23,7033.8,Yes
I876F2G97G,Female,1,No,No,19,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,No,Mailed check,64.74,1230.06,No
7H7FYPQWT6,Male,1,No,No,63,Yes,No phone service,No,Yes,Yes,Yes,No,Yes,No internet service,Month-to-month,No,Electronic check,91.44,5760.72,No
EUV8LC3MW9,Female,1,No,No,54,No,No,DSL,Yes,No,No,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),74.72,4034.88,No
6RPBZN3MYD,Female,0,No,No,7,No,No phone service,DSL,No internet service,No internet service,Yes,Yes,No,No internet service,One year,No,Credit card (automatic),106.87,748.09,Yes
C2G1TGV9SE,Male,0,Yes,No,60,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No internet service,Month-to-month,No,Mailed check,118.28,7096.8,No
COLLZZ758P,Female,0,No,No,2,No,No phone service,DSL,Yes,Yes,No,No internet service,Yes,No,Two year,No,Bank transfer (automatic),39.68,79.36,Yes
3A6873J486,Male,0,No,Yes,11,No,No phone service,Fiber optic,No,No internet service,No internet service,No internet service,Yes,No internet service,Two year,Yes,Credit card (automatic),32.04,352.44,Yes
L3PM3IWLGL,Male,1,Yes,No,35,No,No,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,49.82,1743.7,No
I0XQ1U5Q9B,Female,0,No,No,68,No,Yes,Fiber optic,No,Yes,Yes,No internet service,Yes,No internet service,One year,Yes,Electronic check,33.91,2305.88,No
WGMX5GE96K,Female,0,No,Yes,25,No,Yes,Fiber optic,Yes,No internet service,Yes,No internet service,No internet service,No internet service,One year,Yes,Mailed check,30.37,759.25,No
TA5BA013OY,Female,0,Yes,No,63,Yes,Yes,No,No,Yes,No,No,Yes,No,Two year,Yes,Electronic check,81.6,5140.8,No
964VIZPB2B,Female,1,Yes,Yes,15,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No,No internet service,One year,Yes,Mailed check,106.13,1591.95,No
735BY0W6L6,Male,0,Yes,Yes,47,No,No phone service,Fiber optic,No internet service,No,No,Yes,No,Yes,Two year,Yes,Mailed check,79.16,3720.52,No
